Date,Close/Last,Date_numeric
2020-06-26,3009.05,2101
2020-06-25,3083.76,2100
2020-06-24,3050.33,2099
2020-06-23,3131.29,2098
2020-06-22,3117.86,2097
2020-06-19,3097.74,2094
2020-06-18,3115.34,2093
2020-06-17,3113.49,2092
2020-06-16,3124.74,2091
2020-06-15,3066.59,2090
2020-06-12,3041.31,2087
2020-06-11,3002.1,2086
2020-06-10,3190.14,2085
2020-06-09,3207.18,2084
2020-06-08,3232.39,2083
2020-06-05,3193.93,2080
2020-06-04,3112.35,2079
2020-06-03,3122.87,2078
2020-06-02,3080.82,2077
2020-06-01,3055.73,2076
2020-05-29,3044.31,2073
2020-05-28,3029.73,2072
2020-05-27,3036.13,2071
2020-05-26,2991.77,2070
2020-05-22,2955.45,2066
2020-05-21,2948.51,2065
2020-05-20,2971.61,2064
2020-05-19,2922.94,2063
2020-05-18,2953.91,2062
2020-05-15,2863.7,2059
2020-05-14,2852.5,2058
2020-05-13,2820.0,2057
2020-05-12,2870.12,2056
2020-05-11,2930.32,2055
2020-05-08,2929.8,2052
2020-05-07,2881.19,2051
2020-05-06,2848.42,2050
2020-05-05,2868.44,2049
2020-05-04,2842.74,2048
2020-05-01,2830.71,2045
2020-04-30,2912.43,2044
2020-04-29,2939.51,2043
2020-04-28,2863.39,2042
2020-04-27,2878.48,2041
2020-04-24,2836.74,2038
2020-04-23,2797.8,2037
2020-04-22,2799.31,2036
2020-04-21,2736.56,2035
2020-04-20,2823.16,2034
2020-04-17,2874.56,2031
2020-04-16,2799.55,2030
2020-04-15,2783.36,2029
2020-04-14,2846.06,2028
2020-04-13,2761.63,2027
2020-04-09,2789.82,2023
2020-04-08,2749.98,2022
2020-04-07,2659.41,2021
2020-04-06,2663.68,2020
2020-04-03,2488.65,2017
2020-04-02,2526.9,2016
2020-04-01,2470.5,2015
2020-03-31,2584.59,2014
2020-03-30,2626.65,2013
2020-03-27,2541.47,2010
2020-03-26,2630.07,2009
2020-03-25,2475.56,2008
2020-03-24,2447.33,2007
2020-03-23,2237.4,2006
2020-03-20,2304.92,2003
2020-03-19,2409.39,2002
2020-03-18,2398.1,2001
2020-03-17,2529.19,2000
2020-03-16,2386.13,1999
2020-03-13,2711.02,1996
2020-03-12,2480.64,1995
2020-03-11,2741.38,1994
2020-03-10,2882.23,1993
2020-03-09,2746.56,1992
2020-03-06,2972.37,1989
2020-03-05,3023.94,1988
2020-03-04,3130.12,1987
2020-03-03,3003.37,1986
2020-03-02,3090.23,1985
2020-02-28,2954.22,1982
2020-02-27,2978.76,1981
2020-02-26,3116.39,1980
2020-02-25,3128.21,1979
2020-02-24,3225.89,1978
2020-02-21,3337.75,1975
2020-02-20,3373.23,1974
2020-02-19,3386.15,1973
2020-02-18,3370.29,1972
2020-02-14,3380.16,1968
2020-02-13,3373.94,1967
2020-02-12,3379.45,1966
2020-02-11,3357.75,1965
2020-02-10,3352.09,1964
2020-02-07,3327.71,1961
2020-02-06,3345.78,1960
2020-02-05,3334.69,1959
2020-02-04,3297.59,1958
2020-02-03,3248.92,1957
2020-01-31,3225.52,1954
2020-01-30,3283.66,1953
2020-01-29,3273.4,1952
2020-01-28,3276.24,1951
2020-01-27,3243.63,1950
2020-01-24,3295.47,1947
2020-01-23,3325.54,1946
2020-01-22,3321.75,1945
2020-01-21,3320.79,1944
2020-01-17,3329.62,1940
2020-01-16,3316.81,1939
2020-01-15,3289.29,1938
2020-01-14,3283.15,1937
2020-01-13,3288.13,1936
2020-01-10,3265.35,1933
2020-01-09,3274.7,1932
2020-01-08,3253.05,1931
2020-01-07,3237.18,1930
2020-01-06,3246.28,1929
2020-01-03,3234.85,1926
2020-01-02,3257.85,1925
2019-12-31,3230.78,1923
2019-12-30,3221.29,1922
2019-12-27,3240.02,1919
2019-12-26,3239.91,1918
2019-12-24,3223.38,1916
2019-12-23,3224.01,1915
2019-12-20,3221.22,1912
2019-12-19,3205.37,1911
2019-12-18,3191.14,1910
2019-12-17,3192.52,1909
2019-12-16,3191.45,1908
2019-12-13,3168.8,1905
2019-12-12,3168.57,1904
2019-12-11,3141.63,1903
2019-12-10,3132.52,1902
2019-12-09,3135.96,1901
2019-12-06,3145.91,1898
2019-12-05,3117.43,1897
2019-12-04,3112.76,1896
2019-12-03,3093.2,1895
2019-12-02,3113.87,1894
2019-11-29,3140.98,1891
2019-11-27,3153.63,1889
2019-11-26,3140.52,1888
2019-11-25,3133.64,1887
2019-11-22,3110.29,1884
2019-11-21,3103.54,1883
2019-11-20,3108.46,1882
2019-11-19,3120.18,1881
2019-11-18,3122.03,1880
2019-11-15,3120.46,1877
2019-11-14,3096.63,1876
2019-11-13,3094.04,1875
